# Constants and Parameters

# Final flow velocity (u_f): 1000 (m/s) - The final velocity of the flow
# Initial particle velocity (u_0): 0 (m/s) - The initial velocity of the particle
# Particle radius (r_is): 1e-06 (m) - The radius of the particle
# Nozzle radius (r_n): 0.05 (m) - The radius of the nozzle
# Particle density (q): 7874 (kg/m^3) - The density of the particle
# Gas density (q_g): 1.2754 (kg/m^3) - The density of the gas
# Gas constant (R): 8.31446 (J/(kg*K)) - The specific gas constant
# Gamma: 1.4# Molar mass of air (M): 0.029 (kg/mol) - The molar mass of air
# Gas temperature (T): 300 (K) - The temperature of the gas
# Reference temperature (T_0): 291.15 (K) - The reference temperature for gas
# Reference viscosity (eta_0): 1.827e-05 (Pa*s) - The reference viscosity of the gas
# Specific heat capacity of the gas (Cp): 460 (J/(kg*K)) - The specific heat capacity of the gas
# Speed of sound (Sound speed): 347.011 (m/s) - The speed of sound in the gas
# Dynamic viscosity (Viscosity): 1.91093e-05 (Pa*s) - The dynamic viscosity of the gas






# i  t  v  x  h  fi
0 0 0 0 0.001 4.1855e-05
1 0.001 4.1855e-05 2.09275e-08 0.0011 4.1855e-05
2 0.0021 8.78956e-05 9.22904e-08 0.00121 4.1855e-05
3 0.00331 0.00013854 2.29284e-07 0.001331 4.1855e-05
4 0.004641 0.000194249 4.50755e-07 0.0014641 4.1855e-05
5 0.0061051 0.000255529 7.80016e-07 0.00161051 4.1855e-05
6 0.00771561 0.000322937 1.24583e-06 0.00177156 4.1855e-05
7 0.00948717 0.000397086 1.88361e-06 0.00194872 4.1855e-05
8 0.0114359 0.000478649 2.73689e-06 0.00214359 4.1855e-05
9 0.0135795 0.000568369 3.85908e-06 0.00235795 4.1855e-05
10 0.0159374 0.000667061 5.31562e-06 0.00259374 4.1855e-05
11 0.0185312 0.000775622 7.1866e-06 0.00285312 4.1855e-05
12 0.0213843 0.00089504 9.56989e-06 0.00313843 4.1855e-05
13 0.0245227 0.0010264 1.2585e-05 0.00345227 4.1855e-05
14 0.027975 0.00117089 1.63779e-05 0.0037975 4.1855e-05
15 0.0317725 0.00132984 2.11261e-05 0.00417725 4.1855e-05
16 0.0359497 0.00150468 2.70464e-05 0.00459497 4.18551e-05
17 0.0405447 0.001697 3.44022e-05 0.00505447 4.18551e-05
18 0.0455992 0.00190855 4.35142e-05 0.00555992 4.18551e-05
19 0.0511591 0.00214126 5.47726e-05 0.00611591 4.18551e-05
20 0.057275 0.00239724 6.86511e-05 0.0067275 4.18551e-05
21 0.0640025 0.00267882 8.57258e-05 0.00740025 4.18551e-05
22 0.0714027 0.00298856 0.000106696 0.00814027 4.18551e-05
23 0.079543 0.00332927 0.00013241 0.0089543 4.18551e-05
24 0.0884973 0.00370405 0.000163899 0.00984973 4.18551e-05
25 0.0983471 0.00411631 0.000202414 0.0108347 4.18551e-05
26 0.109182 0.0045698 0.000249469 0.0119182 4.18551e-05
27 0.1211 0.00506863 0.000306906 0.01311 4.18551e-05
28 0.13421 0.00561735 0.000376952 0.014421 4.18551e-05
29 0.148631 0.00622094 0.000462312 0.0158631 4.18551e-05
30 0.164494 0.00688488 0.000566262 0.0174494 4.18551e-05
31 0.181943 0.00761523 0.000692771 0.0191943 4.18551e-05
32 0.201138 0.0084186 0.00084665 0.0211138 4.18551e-05
33 0.222252 0.00930231 0.00103373 0.0232252 4.18551e-05
34 0.245477 0.0102744 0.00126106 0.0255477 4.18551e-05
35 0.271024 0.0113437 0.00153721 0.0281024 4.18551e-05
36 0.299127 0.0125199 0.00187252 0.0309127 4.18551e-05
37 0.330039 0.0138137 0.00227954 0.0340039 4.18552e-05
38 0.364043 0.015237 0.00277346 0.0374043 4.18552e-05
39 0.401448 0.0168025 0.00337267 0.0411448 4.18552e-05
40 0.442593 0.0185246 0.00409943 0.0452593 4.18552e-05
41 0.487852 0.0204189 0.00498071 0.0497852 4.18552e-05
42 0.537637 0.0225026 0.00604914 0.0547637 4.18552e-05
43 0.592401 0.0247947 0.00734423 0.0602401 4.18553e-05
44 0.652641 0.027316 0.0089138 0.0662641 4.18553e-05
45 0.718905 0.0300894 0.0108158 0.0728905 4.18553e-05
46 0.791795 0.0331402 0.0131202 0.0801795 4.18553e-05
47 0.871975 0.036496 0.0159119 0.0881975 4.18554e-05
48 0.960172 0.0401874 0.0192935 0.0970172 4.18554e-05
49 1.05719 0.0442479 0.0233894 0.106719 4.18554e-05
50 1.16391 0.0487145 0.0283498 0.117391 4.18555e-05
51 1.2813 0.0536277 0.0343568 0.12913 4.18555e-05
52 1.41043 0.0590322 0.0416307 0.142043 4.18556e-05
53 1.55247 0.0649771 0.050438 0.156247 4.18556e-05
54 1.70872 0.0715165 0.0611014 0.171872 4.18557e-05
55 1.88059 0.0787098 0.0740112 0.189059 4.18557e-05
56 2.06965 0.0866223 0.08964 0.207965 4.18558e-05
57 2.27762 0.0953261 0.108559 0.228762 4.18559e-05
58 2.50638 0.1049 0.131462 0.251638 4.1856e-05
59 2.75801 0.115432 0.159183 0.276801 4.18561e-05
60 3.03482 0.127016 0.192738 0.304482 4.18562e-05
61 3.3393 0.139759 0.233352 0.33493 4.18563e-05
62 3.67423 0.153776 0.282509 0.368423 4.18564e-05
63 4.04265 0.169194 0.342004 0.405265 4.18565e-05
64 4.44792 0.186154 0.414009 0.445792 4.18567e-05
65 4.89371 0.20481 0.501153 0.490371 4.18568e-05
66 5.38408 0.225331 0.606617 0.539408 4.1857e-05
67 5.92349 0.247903 0.73425 0.593349 4.18572e-05
68 6.51683 0.272733 0.88871 0.652683 4.18574e-05
69 7.16952 0.300045 1.07563 0.717952 4.18577e-05
70 7.88747 0.330087 1.30183 0.789747 4.1858e-05
71 8.67722 0.363133 1.57557 0.868722 4.18582e-05
72 9.54594 0.399483 1.90682 0.955594 4.18586e-05
73 10.5015 0.439466 2.30767 1.05115 4.18589e-05
74 11.5527 0.483446 2.79273 1.15627 4.18593e-05
75 12.709 0.531822 3.37969 1.2719 4.18597e-05
76 13.9808 0.585034 4.08995 1.39908 4.18602e-05
77 15.3799 0.643564 4.94941 1.53899 4.18607e-05
78 16.9189 0.707945 5.98939 1.69289 4.18613e-05
79 18.6118 0.778759 7.2478 1.86218 4.18619e-05
80 20.474 0.856651 8.77052 2.0484 4.18626e-05
81 22.5224 0.942326 10.613 2.25324 4.18634e-05
82 24.7756 1.03656 12.8425 2.47856 4.18642e-05
83 27.2542 1.14021 15.5401 2.47856 4.18651e-05
84 29.7328 1.24386 18.4947 2.47856 4.1866e-05
85 32.2113 1.34749 21.7061 2.47856 4.1867e-05
86 34.6899 1.45112 25.1743 2.47856 4.18679e-05
87 37.1685 1.55473 28.8994 2.47856 4.18688e-05
88 39.647 1.65834 32.8813 2.47856 4.18697e-05
89 42.1256 1.76194 37.12 2.47856 4.18706e-05
90 44.6042 1.86553 41.6155 2.47856 4.18716e-05
91 47.0827 1.96912 46.3677 2.47856 4.18725e-05
92 49.5613 2.07269 51.3767 2.47856 4.18734e-05
93 52.0398 2.17626 56.6423 2.47856 4.18743e-05
94 54.5184 2.27982 62.1646 2.47856 4.18752e-05
95 56.997 2.38337 67.9436 2.47856 4.18762e-05
96 59.4755 2.48691 73.9793 2.47856 4.18771e-05
97 61.9541 2.59044 80.2716 2.47856 4.1878e-05
98 64.4327 2.69397 86.8204 2.47856 4.18789e-05
99 66.9112 2.79748 93.6259 2.47856 4.18798e-05
100 69.3898 2.90099 100.688 2.47856 4.18808e-05
101 71.8684 3.00449 108.006 2.47856 4.18817e-05
102 74.3469 3.10798 115.582 2.47856 4.18826e-05
103 76.8255 3.21146 123.413 2.47856 4.18835e-05
104 79.3041 3.31493 131.501 2.47856 4.18845e-05
105 81.7826 3.4184 139.846 2.47856 4.18854e-05
106 84.2612 3.52185 148.447 2.47856 4.18863e-05
107 86.7397 3.6253 157.304 2.47856 4.18872e-05
108 89.2183 3.72874 166.418 2.47856 4.18881e-05
109 91.6969 3.83217 175.788 2.47856 4.18891e-05
110 94.1754 3.9356 185.414 2.47856 4.189e-05
111 96.654 4.03901 195.297 2.47856 4.18909e-05
112 99.1326 4.14242 205.436 2.47856 4.18918e-05
113 101.611 4.24581 215.831 2.47856 4.18928e-05
114 104.09 4.3492 226.483 2.47856 4.18937e-05
115 106.568 4.45258 237.391 2.47856 4.18946e-05
116 109.047 4.55595 248.555 2.47856 4.18955e-05
117 111.525 4.65932 259.975 2.47856 4.18964e-05
118 114.004 4.76267 271.652 2.47856 4.18974e-05
119 116.483 4.86602 283.585 2.47856 4.18983e-05
120 118.961 4.96936 295.773 2.47856 4.18992e-05
121 121.44 5.07269 308.218 2.47856 4.19001e-05
122 123.918 5.17601 320.919 2.47856 4.19011e-05
123 126.397 5.27932 333.876 2.47856 4.1902e-05
124 128.875 5.38262 347.09 2.47856 4.19029e-05
125 131.354 5.48592 360.559 2.47856 4.19038e-05
126 133.832 5.58921 374.284 2.47856 4.19048e-05
127 136.311 5.69249 388.265 2.47856 4.19057e-05
128 138.79 5.79576 402.502 2.47856 4.19066e-05
129 141.268 5.89902 416.996 2.47856 4.19075e-05
130 143.747 6.00227 431.745 2.47856 4.19085e-05
131 146.225 6.10552 446.75 2.47856 4.19094e-05
132 148.704 6.20875 462.01 2.47856 4.19103e-05
133 151.182 6.31198 477.527 2.47856 4.19113e-05
134 153.661 6.4152 493.3 2.47856 4.19122e-05
135 156.14 6.51841 509.328 2.47856 4.19131e-05
136 158.618 6.62162 525.612 2.47856 4.1914e-05
137 161.097 6.72481 542.152 2.47856 4.1915e-05
138 163.575 6.828 558.948 2.47856 4.19159e-05
139 166.054 6.93118 576 2.47856 4.19168e-05
140 168.532 7.03434 593.307 2.47856 4.19177e-05
141 171.011 7.13751 610.87 2.47856 4.19187e-05
142 173.489 7.24066 628.688 2.47856 4.19196e-05
143 175.968 7.3438 646.763 2.47856 4.19205e-05
144 178.447 7.44694 665.092 2.47856 4.19215e-05
145 180.925 7.55006 683.678 2.47856 4.19224e-05
146 183.404 7.65318 702.519 2.47856 4.19233e-05
147 185.882 7.75629 721.616 2.47856 4.19242e-05
148 188.361 7.85939 740.968 2.47856 4.19252e-05
149 190.839 7.96249 760.576 2.47856 4.19261e-05
150 193.318 8.06557 780.439 2.47856 4.1927e-05
151 195.797 8.16865 800.558 2.47856 4.1928e-05
152 198.275 8.27172 820.932 2.47856 4.19289e-05
153 200.754 8.37478 841.562 2.47856 4.19298e-05
154 203.232 8.47783 862.447 2.47856 4.19307e-05
155 205.711 8.58087 883.587 2.47856 4.19317e-05
156 208.189 8.68391 904.983 2.47856 4.19326e-05
157 210.668 8.78693 926.635 2.47856 4.19335e-05
158 213.147 8.88995 948.541 2.47856 4.19345e-05
159 215.625 8.99296 970.703 2.47856 4.19354e-05
160 218.104 9.09596 993.121 2.47856 4.19363e-05
161 220.582 9.19895 1015.79 2.47856 4.19373e-05
162 223.061 9.30193 1038.72 2.47856 4.19382e-05
163 225.539 9.40491 1061.9 2.47856 4.19391e-05
164 228.018 9.50788 1085.34 2.47856 4.19401e-05
165 230.496 9.61084 1109.04 2.47856 4.1941e-05
166 232.975 9.71379 1132.98 2.47856 4.19419e-05
167 235.454 9.81673 1157.19 2.47856 4.19429e-05
168 237.932 9.91966 1181.65 2.47856 4.19438e-05
169 240.411 10.0226 1206.36 2.47856 4.19447e-05
170 242.889 10.1255 1231.33 2.47856 4.19456e-05
171 245.368 10.2284 1256.55 2.47856 4.19466e-05
172 247.846 10.3313 1282.03 2.47856 4.19475e-05
173 250.325 10.4342 1307.77 2.47856 4.19484e-05
174 252.804 10.5371 1333.76 2.47856 4.19494e-05
175 255.282 10.64 1360 2.47856 4.19503e-05
176 257.761 10.7428 1386.5 2.47856 4.19512e-05
177 260.239 10.8457 1413.26 2.47856 4.19522e-05
178 262.718 10.9485 1440.26 2.47856 4.19531e-05
179 265.196 11.0514 1467.53 2.47856 4.1954e-05
180 267.675 11.1542 1495.05 2.47856 4.1955e-05
181 270.154 11.257 1522.82 2.47856 4.19559e-05
182 272.632 11.3598 1550.85 2.47856 4.19569e-05
183 275.111 11.4627 1579.13 2.47856 4.19578e-05
184 277.589 11.5654 1607.67 2.47856 4.19587e-05
185 280.068 11.6682 1636.47 2.47856 4.19597e-05
186 282.546 11.771 1665.51 2.47856 4.19606e-05
187 285.025 11.8738 1694.82 2.47856 4.19615e-05
188 287.503 11.9766 1724.37 2.47856 4.19625e-05
189 289.982 12.0793 1754.18 2.47856 4.19634e-05
190 292.461 12.1821 1784.25 2.47856 4.19643e-05
191 294.939 12.2848 1814.57 2.47856 4.19653e-05
192 297.418 12.3875 1845.15 2.47856 4.19662e-05
193 299.896 12.4903 1875.98 2.47856 4.19671e-05
194 302.375 12.593 1907.06 2.47856 4.19681e-05
195 304.853 12.6957 1938.4 2.47856 4.1969e-05
196 307.332 12.7984 1970 2.47856 4.197e-05
197 309.811 12.9011 2001.85 2.47856 4.19709e-05
198 312.289 13.0038 2033.95 2.47856 4.19718e-05
199 314.768 13.1064 2066.31 2.47856 4.19728e-05
200 317.246 13.2091 2098.92 2.47856 4.19737e-05
201 319.725 13.3117 2131.79 2.47856 4.19746e-05
202 322.203 13.4144 2164.91 2.47856 4.19756e-05
203 324.682 13.517 2198.29 2.47856 4.19765e-05
204 327.16 13.6197 2231.92 2.47856 4.19775e-05
205 329.639 13.7223 2265.8 2.47856 4.19784e-05
206 332.118 13.8249 2299.94 2.47856 4.19793e-05
207 334.596 13.9275 2334.33 2.47856 4.19803e-05
208 337.075 14.0301 2368.98 2.47856 4.19812e-05
209 339.553 14.1327 2403.88 2.47856 4.19821e-05
210 342.032 14.2353 2439.04 2.47856 4.19831e-05
211 344.51 14.3378 2474.45 2.47856 4.1984e-05
212 346.989 14.4404 2510.11 2.47856 4.1985e-05
213 349.468 14.543 2546.03 2.47856 4.19859e-05
214 351.946 14.6455 2582.2 2.47856 4.19868e-05
215 354.425 14.7481 2618.63 2.47856 4.19878e-05
216 356.903 14.8506 2655.31 2.47856 4.19887e-05
217 359.382 14.9531 2692.25 2.47856 4.19897e-05
218 361.86 15.0556 2729.43 2.47856 4.19906e-05
219 364.339 15.1581 2766.88 2.47856 4.19915e-05
220 366.818 15.2606 2804.58 2.47856 4.19925e-05
221 369.296 15.3631 2842.53 2.47856 4.19934e-05
222 371.775 15.4656 2880.73 2.47856 4.19944e-05
223 374.253 15.5681 2919.19 2.47856 4.19953e-05
224 376.732 15.6705 2957.91 2.47856 4.19963e-05
225 379.21 15.773 2996.87 2.47856 4.19972e-05
226 381.689 15.8754 3036.09 2.47856 4.19981e-05
227 384.167 15.9779 3075.57 2.47856 4.19991e-05
228 386.646 16.0803 3115.3 2.47856 4.2e-05
229 389.125 16.1827 3155.28 2.47856 4.2001e-05
230 391.603 16.2851 3195.52 2.47856 4.20019e-05
231 394.082 16.3875 3236.01 2.47856 4.20028e-05
232 396.56 16.4899 3276.75 2.47856 4.20038e-05
233 399.039 16.5923 3317.75 2.47856 4.20047e-05
234 401.517 16.6947 3359 2.47856 4.20057e-05
235 403.996 16.7971 3400.51 2.47856 4.20066e-05
236 406.475 16.8994 3442.27 2.47856 4.20076e-05
237 408.953 17.0018 3484.28 2.47856 4.20085e-05
238 411.432 17.1041 3526.55 2.47856 4.20095e-05
239 413.91 17.2065 3569.07 2.47856 4.20104e-05
240 416.389 17.3088 3611.84 2.47856 4.20113e-05
241 418.867 17.4111 3654.87 2.47856 4.20123e-05
242 421.346 17.5134 3698.15 2.47856 4.20132e-05
243 423.824 17.6157 3741.69 2.47856 4.20142e-05
244 426.303 17.718 3785.48 2.47856 4.20151e-05
245 428.782 17.8203 3829.52 2.47856 4.20161e-05
246 431.26 17.9226 3873.81 2.47856 4.2017e-05
247 433.739 18.0249 3918.36 2.47856 4.2018e-05
248 436.217 18.1271 3963.16 2.47856 4.20189e-05
249 438.696 18.2294 4008.22 2.47856 4.20198e-05
250 441.174 18.3316 4053.53 2.47856 4.20208e-05
251 443.653 18.4339 4099.09 2.47856 4.20217e-05
252 446.132 18.5361 4144.91 2.47856 4.20227e-05
253 448.61 18.6383 4190.98 2.47856 4.20236e-05
254 451.089 18.7405 4237.3 2.47856 4.20246e-05
255 453.567 18.8427 4283.88 2.47856 4.20255e-05
256 456.046 18.9449 4330.71 2.47856 4.20265e-05
257 458.524 19.0471 4377.79 2.47856 4.20274e-05
258 461.003 19.1493 4425.13 2.47856 4.20284e-05
259 463.482 19.2515 4472.72 2.47856 4.20293e-05
260 465.96 19.3536 4520.56 2.47856 4.20303e-05
261 468.439 19.4558 4568.65 2.47856 4.20312e-05
262 470.917 19.5579 4617 2.47856 4.20322e-05
263 473.396 19.6601 4665.61 2.47856 4.20331e-05
264 475.874 19.7622 4714.46 2.47856 4.2034e-05
265 478.353 19.8643 4763.57 2.47856 4.2035e-05
266 480.831 19.9664 4812.93 2.47856 4.20359e-05
267 483.31 20.0685 4862.55 2.47856 4.20369e-05
268 485.789 20.1706 4912.41 2.47856 4.20378e-05
269 488.267 20.2727 4962.53 2.47856 4.20388e-05
270 490.746 20.3748 5012.91 2.47856 4.20397e-05
271 493.224 20.4769 5063.53 2.47856 4.20407e-05
272 495.703 20.5789 5114.41 2.47856 4.20416e-05
273 498.181 20.681 5165.55 2.47856 4.20426e-05
274 500.66 20.783 5216.93 2.47856 4.20435e-05
275 503.139 20.8851 5268.57 2.47856 4.20445e-05
276 505.617 20.9871 5320.46 2.47856 4.20454e-05
277 508.096 21.0891 5372.61 2.47856 4.20464e-05
278 510.574 21.1911 5425 2.47856 4.20473e-05
279 513.053 21.2931 5477.65 2.47856 4.20483e-05
280 515.531 21.3951 5530.56 2.47856 4.20492e-05
281 518.01 21.4971 5583.71 2.47856 4.20502e-05
282 520.488 21.5991 5637.12 2.47856 4.20511e-05
283 522.967 21.7011 5690.78 2.47856 4.20521e-05
284 525.446 21.803 5744.7 2.47856 4.2053e-05
285 527.924 21.905 5798.86 2.47856 4.2054e-05
286 530.403 22.0069 5853.28 2.47856 4.20549e-05
287 532.881 22.1089 5907.95 2.47856 4.20559e-05
288 535.36 22.2108 5962.88 2.47856 4.20569e-05
289 537.838 22.3127 6018.06 2.47856 4.20578e-05
290 540.317 22.4146 6073.49 2.47856 4.20588e-05
291 542.796 22.5166 6129.17 2.47856 4.20597e-05
292 545.274 22.6184 6185.1 2.47856 4.20607e-05
293 547.753 22.7203 6241.29 2.47856 4.20616e-05
294 550.231 22.8222 6297.73 2.47856 4.20626e-05
295 552.71 22.9241 6354.42 2.47856 4.20635e-05
296 555.188 23.0259 6411.37 2.47856 4.20645e-05
297 557.667 23.1278 6468.57 2.47856 4.20654e-05
298 560.146 23.2297 6526.02 2.47856 4.20664e-05
299 562.624 23.3315 6583.72 2.47856 4.20673e-05
300 565.103 23.4333 6641.67 2.47856 4.20683e-05
301 567.581 23.5351 6699.88 2.47856 4.20692e-05
302 570.06 23.637 6758.34 2.47856 4.20702e-05
303 572.538 23.7388 6817.05 2.47856 4.20712e-05
304 575.017 23.8406 6876.02 2.47856 4.20721e-05
305 577.495 23.9423 6935.23 2.47856 4.20731e-05
306 579.974 24.0441 6994.7 2.47856 4.2074e-05
307 582.453 24.1459 7054.42 2.47856 4.2075e-05
308 584.931 24.2477 7114.4 2.47856 4.20759e-05
309 587.41 24.3494 7174.62 2.47856 4.20769e-05
310 589.888 24.4512 7235.1 2.47856 4.20778e-05
311 592.367 24.5529 7295.83 2.47856 4.20788e-05
312 594.845 24.6546 7356.81 2.47856 4.20798e-05
313 597.324 24.7563 7418.04 2.47856 4.20807e-05
314 599.803 24.8581 7479.53 2.47856 4.20817e-05
315 602.281 24.9598 7541.27 2.47856 4.20826e-05
316 604.76 25.0615 7603.26 2.47856 4.20836e-05
317 607.238 25.1632 7665.5 2.47856 4.20845e-05
318 609.717 25.2648 7728 2.47856 4.20855e-05
319 612.195 25.3665 7790.74 2.47856 4.20865e-05
320 614.674 25.4682 7853.74 2.47856 4.20874e-05
321 617.153 25.5698 7916.99 2.47856 4.20884e-05
322 619.631 25.6715 7980.49 2.47856 4.20893e-05
323 622.11 25.7731 8044.25 2.47856 4.20903e-05
324 624.588 25.8747 8108.26 2.47856 4.20912e-05
325 627.067 25.9764 8172.51 2.47856 4.20922e-05
326 629.545 26.078 8237.02 2.47856 4.20932e-05
327 632.024 26.1796 8301.79 2.47856 4.20941e-05
328 634.502 26.2812 8366.8 2.47856 4.20951e-05
329 636.981 26.3828 8432.06 2.47856 4.2096e-05
330 639.46 26.4844 8497.58 2.47856 4.2097e-05
331 641.938 26.5859 8563.35 2.47856 4.2098e-05
332 644.417 26.6875 8629.37 2.47856 4.20989e-05
333 646.895 26.789 8695.64 2.47856 4.20999e-05
334 649.374 26.8906 8762.17 2.47856 4.21008e-05
335 651.852 26.9921 8828.94 2.47856 4.21018e-05
336 654.331 27.0937 8895.97 2.47856 4.21028e-05
337 656.81 27.1952 8963.25 2.47856 4.21037e-05
338 659.288 27.2967 9030.78 2.47856 4.21047e-05
339 661.767 27.3982 9098.56 2.47856 4.21056e-05
340 664.245 27.4997 9166.6 2.47856 4.21066e-05
341 666.724 27.6012 9234.88 2.47856 4.21076e-05
342 669.202 27.7027 9303.42 2.47856 4.21085e-05
343 671.681 27.8041 9372.21 2.47856 4.21095e-05
344 674.159 27.9056 9441.25 2.47856 4.21104e-05
345 676.638 28.0071 9510.54 2.47856 4.21114e-05
346 679.117 28.1085 9580.08 2.47856 4.21124e-05
347 681.595 28.21 9649.88 2.47856 4.21133e-05
348 684.074 28.3114 9719.92 2.47856 4.21143e-05
349 686.552 28.4128 9790.22 2.47856 4.21153e-05
350 689.031 28.5142 9860.77 2.47856 4.21162e-05
351 691.509 28.6156 9931.57 2.47856 4.21172e-05
352 693.988 28.717 10002.6 2.47856 4.21181e-05
353 696.467 28.8184 10073.9 2.47856 4.21191e-05
354 698.945 28.9198 10145.5 2.47856 4.21201e-05
355 701.424 29.0212 10217.3 2.47856 4.2121e-05
356 703.902 29.1225 10289.3 2.47856 4.2122e-05
357 706.381 29.2239 10361.6 2.47856 4.2123e-05
358 708.859 29.3253 10434.2 2.47856 4.21239e-05
359 711.338 29.4266 10507 2.47856 4.21249e-05
360 713.817 29.5279 10580.1 2.47856 4.21259e-05
361 716.295 29.6293 10653.4 2.47856 4.21268e-05
362 718.774 29.7306 10727 2.47856 4.21278e-05
363 721.252 29.8319 10800.8 2.47856 4.21287e-05
364 723.731 29.9332 10874.8 2.47856 4.21297e-05
365 726.209 30.0345 10949.2 2.47856 4.21307e-05
366 728.688 30.1358 11023.7 2.47856 4.21316e-05
367 731.166 30.237 11098.5 2.47856 4.21326e-05
368 733.645 30.3383 11173.6 2.47856 4.21336e-05
369 736.124 30.4396 11248.9 2.47856 4.21345e-05
370 738.602 30.5408 11324.5 2.47856 4.21355e-05
371 741.081 30.642 11400.3 2.47856 4.21365e-05
372 743.559 30.7433 11476.4 2.47856 4.21374e-05
373 746.038 30.8445 11552.7 2.47856 4.21384e-05
374 748.516 30.9457 11629.3 2.47856 4.21394e-05
375 750.995 31.0469 11706.1 2.47856 4.21403e-05
376 753.474 31.1481 11783.2 2.47856 4.21413e-05
377 755.952 31.2493 11860.5 2.47856 4.21423e-05
378 758.431 31.3505 11938.1 2.47856 4.21432e-05
379 760.909 31.4517 12015.9 2.47856 4.21442e-05
380 763.388 31.5529 12094 2.47856 4.21452e-05
381 765.866 31.654 12172.3 2.47856 4.21461e-05
382 768.345 31.7552 12250.9 2.47856 4.21471e-05
383 770.823 31.8563 12329.8 2.47856 4.21481e-05
384 773.302 31.9574 12408.8 2.47856 4.2149e-05
385 775.781 32.0586 12488.2 2.47856 4.215e-05
386 778.259 32.1597 12567.8 2.47856 4.2151e-05
387 780.738 32.2608 12647.6 2.47856 4.2152e-05
388 783.216 32.3619 12727.7 2.47856 4.21529e-05
389 785.695 32.463 12808 2.47856 4.21539e-05
390 788.173 32.5641 12888.6 2.47856 4.21549e-05
391 790.652 32.6652 12969.4 2.47856 4.21558e-05
392 793.131 32.7662 13050.5 2.47856 4.21568e-05
393 795.609 32.8673 13131.9 2.47856 4.21578e-05
394 798.088 32.9683 13213.5 2.47856 4.21587e-05
395 800.566 33.0694 13295.3 2.47856 4.21597e-05
396 803.045 33.1704 13377.4 2.47856 4.21607e-05
397 805.523 33.2714 13459.7 2.47856 4.21617e-05
398 808.002 33.3725 13542.3 2.47856 4.21626e-05
399 810.481 33.4735 13625.2 2.47856 4.21636e-05
400 812.959 33.5745 13708.3 2.47856 4.21646e-05
401 815.438 33.6755 13791.6 2.47856 4.21655e-05
402 817.916 33.7765 13875.2 2.47856 4.21665e-05
403 820.395 33.8774 13959 2.47856 4.21675e-05
404 822.873 33.9784 14043.1 2.47856 4.21685e-05
405 825.352 34.0794 14127.5 2.47856 4.21694e-05
406 827.83 34.1803 14212.1 2.47856 4.21704e-05
407 830.309 34.2813 14296.9 2.47856 4.21714e-05
408 832.788 34.3822 14382 2.47856 4.21723e-05
409 835.266 34.4831 14467.3 2.47856 4.21733e-05
410 837.745 34.584 14552.9 2.47856 4.21743e-05
411 840.223 34.685 14638.8 2.47856 4.21753e-05
412 842.702 34.7859 14724.9 2.47856 4.21762e-05
413 845.18 34.8868 14811.2 2.47856 4.21772e-05
414 847.659 34.9877 14897.8 2.47856 4.21782e-05
415 850.138 35.0885 14984.7 2.47856 4.21792e-05
416 852.616 35.1894 15071.7 2.47856 4.21801e-05
417 855.095 35.2903 15159.1 2.47856 4.21811e-05
418 857.573 35.3911 15246.7 2.47856 4.21821e-05
419 860.052 35.492 15334.5 2.47856 4.21831e-05
420 862.53 35.5928 15422.6 2.47856 4.2184e-05
421 865.009 35.6936 15511 2.47856 4.2185e-05
422 867.487 35.7945 15599.6 2.47856 4.2186e-05
423 869.966 35.8953 15688.4 2.47856 4.2187e-05
424 872.445 35.9961 15777.5 2.47856 4.21879e-05
425 874.923 36.0969 15866.8 2.47856 4.21889e-05
426 877.402 36.1977 15956.4 2.47856 4.21899e-05
427 879.88 36.2984 16046.3 2.47856 4.21909e-05
428 882.359 36.3992 16136.4 2.47856 4.21918e-05
429 884.837 36.5 16226.7 2.47856 4.21928e-05
430 887.316 36.6007 16317.3 2.47856 4.21938e-05
431 889.795 36.7015 16408.1 2.47856 4.21948e-05
432 892.273 36.8022 16499.2 2.47856 4.21957e-05
433 894.752 36.903 16590.6 2.47856 4.21967e-05
434 897.23 37.0037 16682.2 2.47856 4.21977e-05
435 899.709 37.1044 16774 2.47856 4.21987e-05
436 902.187 37.2051 16866.1 2.47856 4.21996e-05
437 904.666 37.3058 16958.4 2.47856 4.22006e-05
438 907.145 37.4065 17051 2.47856 4.22016e-05
439 909.623 37.5072 17143.9 2.47856 4.22026e-05
440 912.102 37.6079 17237 2.47856 4.22036e-05
441 914.58 37.7085 17330.3 2.47856 4.22045e-05
442 917.059 37.8092 17423.9 2.47856 4.22055e-05
443 919.537 37.9098 17517.7 2.47856 4.22065e-05
444 922.016 38.0105 17611.8 2.47856 4.22075e-05
445 924.494 38.1111 17706.1 2.47856 4.22085e-05
446 926.973 38.2117 17800.7 2.47856 4.22094e-05
447 929.452 38.3123 17895.6 2.47856 4.22104e-05
448 931.93 38.413 17990.7 2.47856 4.22114e-05
449 934.409 38.5136 18086 2.47856 4.22124e-05
450 936.887 38.6141 18181.6 2.47856 4.22133e-05
451 939.366 38.7147 18277.4 2.47856 4.22143e-05
452 941.844 38.8153 18373.5 2.47856 4.22153e-05
453 944.323 38.9159 18469.8 2.47856 4.22163e-05
454 946.802 39.0164 18566.4 2.47856 4.22173e-05
455 949.28 39.117 18663.2 2.47856 4.22183e-05
456 951.759 39.2175 18760.3 2.47856 4.22192e-05
457 954.237 39.3181 18857.6 2.47856 4.22202e-05
